"Name","Company","State","City","Salary","Location","Url","Posted Date"
"Inventory Analyst"," Siemens  ","IL","Buffalo Grove","$62k-$86k","Buffalo Grove, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=182759&s=58&guid=000001672e48ce3a99ce6303ab2d04f0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_ac179bee&cb=1542669782682&jobListingId=3014184889","7 days ago"
"Plant Manager"," Siemens PLC  ","IL","Buffalo Grove","$70k-$128k","Buffalo Grove, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=344663&s=58&guid=000001672e48ce3a99ce6303ab2d04f0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_88f52a24&cb=1542669782683&jobListingId=2973031056"," 19 days ago"
"Training Specialist - Building Technologies - Buffalo Grove, IL"," Siemens PLC  ","IL","Buffalo Grove","$70k-$106k","Buffalo Grove, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=344663&s=58&guid=000001672e48ce3a99ce6303ab2d04f0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_37a54d08&cb=1542669782685&jobListingId=3021421465"," 9 days ago"
"National Operations Manager - Building Technologies"," Siemens PLC  ","IL","Buffalo Grove","$110k-$166k","Buffalo Grove, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=344663&s=58&guid=000001672e48ce3a99ce6303ab2d04f0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_736daa96&cb=1542669782686&jobListingId=2998256822","7 days ago"
"Buying Professional"," Siemens  ","IL","Elgin","","Elgin, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=182759&s=58&guid=000001672e48ce3a99ce6303ab2d04f0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_2646886d&cb=1542669782687&jobListingId=3025415365"," 5 days ago"
"Operations Development Program"," Siemens  ","IL","Buffalo Grove","","Buffalo Grove, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=182759&s=58&guid=000001672e48ce3a99ce6303ab2d04f0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_4786f124&cb=1542669782694&jobListingId=3025408836"," 5 days ago"
"Operator Production"," Siemens  ","IL","Buffalo Grove","","Buffalo Grove, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=182759&s=58&guid=000001672e48ce3a99ce6303ab2d04f0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_0a5e10b8&cb=1542669782695&jobListingId=3014185161"," 15 days ago"
"Support Specialist - Building Automation HVAC Controls - Mount Prospect, IL"," Siemens PLC  ","IL","Mount Prospect","$47k-$83k","Mount Prospect, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=344663&s=58&guid=000001672e48ce3a99ce6303ab2d04f0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_c896526d&cb=1542669782696&jobListingId=2852719020"," 9 days ago"
"Warehouse Coordinator - Mount Prospect, IL"," Siemens PLC  ","IL","Mount Prospect","","Mount Prospect, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=344663&s=58&guid=000001672e48ce3a99ce6303ab2d04f0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_39c2140e&cb=1542669782697&jobListingId=3023157357"," 6 days ago"
"Electrical Engineering Intern"," Siemens  ","IL","Hoffman Estates","$43k-$70k","Hoffman Estates, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=182759&s=58&guid=000001672e48ce3a99ce6303ab2d04f0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_c2152c83&cb=1542669782698&jobListingId=3025413154"," 5 days ago"
"Senior Manager, Engineering"," Siemens  ","IL","Hoffman Estates","$122k-$160k","Hoffman Estates, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=182759&s=58&guid=000001672e48ce3a99ce6303ab2d04f0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_29157bb4&cb=1542669782700&jobListingId=3025416595"," 5 days ago"
"Materials Support 1"," Siemens  ","IL","Hoffman Estates","","Hoffman Estates, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=182759&s=58&guid=000001672e48ce3a99ce6303ab2d04f0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_723c1fef&cb=1542669782701&jobListingId=3026871971"," 4 days ago"
"Business Development Manager - Fire Safety Services - Building Technologies - Major US"," Siemens PLC  ","IL","Buffalo Grove","$83k-$118k","Buffalo Grove, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=344663&s=58&guid=000001672e48ce3a99ce6303ab2d04f0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_01896ece&cb=1542669782703&jobListingId=2910568616","7 days ago"
"Quality Inspector A"," Siemens PLC  ","IL","Elgin","$15-$28 per hour","Elgin, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=344663&s=58&guid=000001672e48ce3a99ce6303ab2d04f0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_6858d7a9&cb=1542669782703&jobListingId=3024382564"," 5 days ago"
"Sales Engineer - Low/Medium Voltage"," Siemens PLC  ","IL","Hoffman Estates","$73k-$92k","Hoffman Estates, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=344663&s=58&guid=000001672e48ce3a99ce6303ab2d04f0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_1fe8ace2&cb=1542669782705&jobListingId=2863396563","7 days ago"
"Fire Alarm Technician - Mount Prospect, IL"," Siemens  ","IL","Mount Prospect","","Mount Prospect, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=182759&s=58&guid=000001672e48ce3a99ce6303ab2d04f0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_967dbdd9&cb=1542669782706&jobListingId=3025416926"," 5 days ago"
"Sr. Product Marketing Manager"," Siemens PLC  ","IL","Buffalo Grove","$134k-$174k","Buffalo Grove, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=344663&s=58&guid=000001672e48ce3a99ce6303ab2d04f0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_b83120d1&cb=1542669782707&jobListingId=3011254586"," 17 days ago"
"Project Lead - Fire Safety Systems - Mount Prospect, IL"," Siemens PLC  ","IL","Mount Prospect","$48k-$74k","Mount Prospect, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=344663&s=58&guid=000001672e48ce3a99ce6303ab2d04f0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_ec8e907f&cb=1542669782708&jobListingId=2989435298"," 10 days ago"
"Building Automation Controls Technician - Major US"," Siemens PLC  ","IL","Buffalo Grove","","Buffalo Grove, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=344663&s=58&guid=000001672e48ce3a99ce6303ab2d04f0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_81643e7c&cb=1542669782709&jobListingId=2916642278"," 25 days ago"
