"Name","Company","State","City","Salary","Location","Url","Posted Date"
"ADAS Functions Algorithm Developer"," Continental  ","MI","Auburn Hills","","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=412&ao=177462&s=58&guid=000001672e4888d7b2fd9a47b1a31610&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_5193baac&cb=1542669764966&jobListingId=3027308578"," 4 days ago"
"ADAS Safety Functions ­ Algorithm Developer"," Continental  ","MI","Auburn Hills","","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=413&ao=177462&s=58&guid=000001672e4888d7b2fd9a47b1a31610&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_a3049100&cb=1542669764967&jobListingId=3027308532"," 4 days ago"
"Intern - Commercial Vehicle ECU and On Board Charger Development"," Continental  New","MI","Auburn Hills","","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=414&ao=177462&s=58&guid=000001672e4888d7b2fd9a47b1a31610&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_6411fa4d&cb=1542669764969&jobListingId=3029374978","7 days ago"
"Intern - Supplier Diversity"," Continental  ","MI","Troy","","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=415&ao=177462&s=58&guid=000001672e4888d7b2fd9a47b1a31610&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_e26f3bbf&cb=1542669764970&jobListingId=3023160566"," 6 days ago"
"Sr Staff Eng­ Customer Product Quality Mgr (Warranty)"," Continental  ","MI","Auburn Hills","$83k-$146k","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=416&ao=177462&s=58&guid=000001672e4888d7b2fd9a47b1a31610&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_2d28a517&cb=1542669764972&jobListingId=2998098368","7 days ago"
"CES Chassis Control Systems - Senior Software Engineer"," Continental  ","MI","Auburn Hills","$87k-$123k","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=417&ao=177462&s=58&guid=000001672e4888d7b2fd9a47b1a31610&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_75f29965&cb=1542669764973&jobListingId=3023775620"," 6 days ago"
"Head of Department Sequencing"," Continental Corporation  ","MI","Clinton","","Clinton, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=418&ao=189299&s=58&guid=000001672e4888d7b2fd9a47b1a31610&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_336401c0&cb=1542669764975&jobListingId=3024709757"," 30+ days ago"
"CES - Basic Software Engineer (BSW - Low Level Programming)"," Continental Corporation  ","MI","Auburn Hills","$62k-$102k","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=419&ao=189299&s=58&guid=000001672e4888d7b2fd9a47b1a31610&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_d20208c8&cb=1542669764977&jobListingId=3024655257"," 30+ days ago"
"Computer Vision Surround View Engineer (ADAS)"," Continental Corporation  ","MI","Auburn Hills","","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=420&ao=189299&s=58&guid=000001672e4888d7b2fd9a47b1a31610&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_204abbb1&cb=1542669764978&jobListingId=3024635146"," 30+ days ago"
"Senior Staff System Engineer - eDrives"," Continental Corporation  ","MI","Auburn Hills","$78k-$151k","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=421&ao=189299&s=58&guid=000001672e4888d7b2fd9a47b1a31610&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_1249cf1f&cb=1542669764979&jobListingId=3024562269"," 30+ days ago"
